Feature	COPF
Mycobacterial HadABC proteins ((3R)-hydroxyacyl-ACP dehydrates of FASII)	35
Glycerol fermentation to 1,3-propanediol	35
Glutathione analogs: mycothiol	35
N,N'-diacetylbacillosamine	35
Micrococcaceae	35
Legionellaceae	35
Treboniaceae	35
Head-to-head olefinic hydrocarbon biosynthesis	35
Possible stress related actinobacterial cluster	35
Actinopolymorphaceae	36
Sulfur metabolism related cluster	36
Osmoregulation	36
Francisellaceae	36
Acyl carrier protein	36
Synechococcaceae	36
DNA repair, bacterial RecFOR pathway	36
Syntrophaceae	36
Antibiotic targets in metabolic pathways	37
dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose synthesis	37
DNA repair, bacterial UvrD and related helicases	37
Gram-negative cluster	37
Signal peptidase	37
Mycobacterial lipoproteins (LPR group)	37
Nonmevalonate Branch of Isoprenoid Biosynthesis	38
Nucleoside triphosphate pyrophosphohydrolase MazG	38
Lipopolysaccharide-related cluster in Alphaproteobacteria	38
tRNA aminoacylation, Lys	39
Glutamine synthetases	39
Cell division related cluster	39
RuvABC plus a hypothetical	39
Na(+) H(+) antiporter	40
Alginate biosynthesis	40
GDP-fucose to mannose-1P module	40
Acyl-CoA thioesterase II	41
Siderophore assembly kit	41
Quinone oxidoreductase family	41
Homoprotocatechuate degradative cluster	41
Micromonosporaceae	42
Nocardioidaceae	42
Streptomycetaceae	42
Microbacteriaceae	42
Frankiaceae	42
Cluster related to PAS - para-aminosalicylic acid resistance	42
Pseudonocardiaceae	42
Nocardiopsaceae	42
Multidrug resistance RND efflux system MexEFOprN	42
tRNA aminoacylation, Val	43
Glycolysis and Gluconeogenesis	43
Possible new toxin-antitoxin system including DivIC	43
Bacterial cell division related cluster 2	43
Pentose phosphate pathway	44
Thermomonosporaceae	44
Entner-Doudoroff Pathway	44
Cellulomonadaceae	45
Benzoyl-CoA pathway of anaerobic aromatic metabolism	45
Promicromonosporaceae	45
Streptosporangiaceae	45
Intrasporangiaceae	45
Bogoriellaceae	45
Riboflavin, FMN and FAD metabolism with fusion events	45
Jiangellaceae	45
FtsEX cell-division-associated signaling system	46
Programmed frameshift	46
Quinolone (Fluoroquinolone) resistance via Pentapeptide repeat proteins	46
Tripartite efflux system (of RND type) associated with Geranylgeranyl-PP synthase	46
Peptidase clustering with DAP	47
Antibiotic targets in DNA processing	47
DNA processing cluster	47
Calvin-Benson cycle	47
DNA topoisomerases, Type II, ATP-dependent	47
De Novo Pyrimidine Synthesis	47
Replication-associated recombination protein RarA	48
Cluster related to 2-thiouridine modification of tRNAs	48
YrdC-YciO-Sua5 and associated protein families	48
Amino acid racemase	48
tRNA aminoacylation, His	48
Mechanisms of PAS resistance	48
Cyanobacterial bypass in the TCA	49
Reyranellaceae	49
