Feature	COPF
Geovibrionaceae	99
Cesiribacteraceae	99
Synergistaceae	99
Coat proteins CotJABC	99
Proteinivoraceae	99
Desulfitibacteraceae	99
Fructoselysine and glucoselysine	99
Erysipelotrichaceae	99
Brachyspiraceae	99
Anthocerotibacteraceae	99
Siderophore Yersiniabactin Biosynthesis	99
Culicoidibacteraceae	99
Ardenticatenaceae	99
Lentimicrobiaceae	99
Xanthine dehydrogenase subunits	99
Halarsenatibacteraceae	99
Coelosphaeriaceae	100
Electron-bifurcating caffeyl-CoA reductase-Etf complex	100
Christensenellaceae	100
Coprothermobacteraceae	100
NiFe hydrogenase maturation	100
Peptostreptococcaceae	100
Dethiosulfovibrionaceae	100
NAD-reducing [NiFe] hydrogenase HoxFUYH(E)	100
Anaerovoracaceae	100
Desulfatibacillaceae	100
Magnetaquicoccaceae	100
Geopsychrobacteraceae	100
Glutamate fermentation	100
Coriobacteriaceae	100
Egicoccaceae	100
Eggerthellaceae	100
Atopobiaceae	100
Anaerobic glycerol-3-phosphate dehydrogenase subunits	100
Methanogenesis from methylated compounds	100
Desulfurellaceae	100
Butyrate kinase pathway	100
Lysine fermentation to crotonoyl-CoA	100
Eubacteriales Family XIII. Incertae Sedis	100
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1)	101
ESAT-6 protein secretion system in Mycobacteria (locus ESX-5)	101
Toxin-antitoxin replicon stabilization systems	102
ESAT-6 proteins secretion system in Firmicutes and Actinobacteria	102
YoeB-YefM toxin-antitoxin system	102
Dihydroxyacetone kinases	102
Syntrophorhabdaceae	103
Glycerol ABC transporter	103
tRNA aminoacylation, Thr	104
Lipoylation-related cluster	104
Planococcaceae	104
Bacillaceae	104
Alicyclobacillaceae	104
Biotin synthesis cluster	104
The Chv two-component regulatory system	105
Murein hydrolase regulation and cell death	105
Queuosine and archaeosine	105
ESAT-6 proteins secretion system in Firmicutes extended	106
Urease subunits	106
Deinococcaceae	106
Nickel-requiring	106
Adenosyl nucleosidases	107
Na-driven 2-hydroxyglutarate pathway	107
Metabolite repair	107
D-3-phosphoglycerate to phosphoserine module	108
Histidine Degradation	109
Enterobacterial common antigen (LPS O-antigen)	109
Pelagibacteraceae	110
Dipicolinate Synthesis	110
Anaerotignaceae	110
Dethiobacteraceae	110
Methylacidiphilaceae	110
Fibrobacteraceae	110
Calditerrivibrionaceae	110
Thalassospiraceae	110
Beta-lactamases Ambler class A	110
RSF1010 like IncQ broad-host-range plasmids	110
Biofilm formation in Staphylococcus	111
Bile hydrolysis	111
Formaldehyde assimilation: Ribulose monophosphate pathway	111
Adhesins in Staphylococcus	111
Pore-forming cytolytic toxins	111
Alpha-acetolactate operon	111
Actinospicaceae	111
Desulfococcaceae	111
Siderophore Staphylobactin	111
Staphylococcaceae	111
p-Aminobenzoyl-Glutamate Utilization	111
Desulfotomaculaceae	111
Biosynthesis of 4,4'-diapolycopene dialdehyde	111
Fosfomycin resistance	111
Methylglyoxal resistance in Bacillus subtilis	111
Toxins	111
Bacillithiol synthesis	111
Listeria Pathogenicity Island LIPI-1 extended	111
Siderophore Anthrachelin	111
Teicoplanin resistance in Staphylococci	111
Cytolysin and Lipase operon in Vibrio	111
Multi-subunit cation antiporter	111
Erwiniaceae	112
D-gluconate and ketogluconates metabolism	112
BactLuciferaseComplex	112
Vibrionaceae	112
DNA repair, bacterial photolyase	112
Chromobacteriaceae	112
Yersiniaceae	112
Glycine betaine synthesis from choline	112
Methylglyoxal Metabolism	112
Glyoxylate bypass	112
Putative oxidase COG2907	112
Cyanophycin Metabolism	112
Fatty acid catabolic operon fadN-fadA-fadE (yusJKL)	112
Heme O and Heme A biosynthesis	112
Cysteine synthesis	112
Carnitine metabolism and transport	112
Alkane biosynthesis in bacteria	113
Citrate uptake cluster	113
Listeriaceae	113
Potassium-transporting ATPase	114
Proline biosynthesis (for review)	114
Cytophagaceae	114
Fet iron export system	114
Hydroxy-fatty acid production as stress response	114
Pectobacteriaceae	114
Urea carboxylase and Allophanate hydrolase cluster	114
Arcobacteraceae	114
Enterobacteriaceae	115
Urea cycle	115
Anaerobic module of TCA	115
Arginine biosynthesis via N-acetyl-L-citrulline	115
Arginine biosynthesis	115
Histidine Biosynthesis -- gjo	115
Histidine Biosynthesis	115
Pterin synthesis related cluster	115
D-Galacturonate and D-Glucuronate Utilization	116
NADH ubiquinone oxidoreductase vs. multi-subunit cation antiporter	116
Proline, 4-hydroxyproline uptake and utilization	116
Pyruvate metabolism I: anaplerotic reactions, PEP	116
Nucleoside uptake and degradation cluster	116
Cold shock proteins of CSP family	116
Nucleoside ABC transporter cluster	117
NADH ubiquinone oxidoreductase	117
Respiratory Complex I	117
Uridine to beta-Alanine and Thymine to 3-aminoisobutanoate module	117
Maintenance of outer membrane lipid asymmetry	118
Alcanivoracaceae	118
Selenocysteine metabolism	118
Tripartite multidrug efflux systems (of RND type) in Pseudomonas	118
Lipopolysaccharide in K12	118
Zoogloeaceae	118
Gene Transfer Agent	119
Phospholipid and Fatty acid biosynthesis related cluster	119
Solibacteraceae	119
Nevskiaceae	119
Oceanospirillaceae	119
Mu-like phage	119
MukBEF Chromosome Condensation	119
Oscillatoriaceae	119
Sugar-phosphate stress regulation	119
Spore germination	119
Peptide ABC transport system Sap	119
Shikimate kinase SK3 cluster	119
Acidithiobacillaceae	119
Trimethylamine-N-oxide operon	119
Aeromonadaceae	119
Oxalobacteraceae	119
Crocinitomicaceae	119
Gemmataceae	119
Hexose phosphate transport system	119
Thermoleophilaceae	119
Lambdoid phage	119
Halieaceae	119
Psychromonadaceae	119
Shewanellaceae	119
Sporomusaceae	119
Weeksellaceae	119
Bacteriovoracaceae	119
Pseudobdellovibrionaceae	119
Chitinophagaceae	119
Sphingobacteriaceae	119
Idiomarinaceae	119
Alteromonadaceae	119
Chromatiaceae	119
Polymyxin resistance	120
Methylococcaceae	120
Siderophore Aerobactin	120
Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters	120
Caulobacteraceae	120
TAM transport system	120
Tripartite multidrug efflux systems (of MFS type) in Gram-negative bacteria	120
Rhodanobacteraceae	120
mRNA 3-end processing factor containing cluster	120
Type III secretion system orphans	120
Burkholderiaceae	120
Endozoicomonadaceae	120
Anaeromyxobacteraceae	120
Tocopherols and tocotrienols (vitamin E) in plants and cyanobacteria	120
Nitrobacteraceae	120
Leptolyngbyaceae	120
Biofilm Adhesin Biosynthesis	120
Copper transport and blue copper proteins	120
Aquaspirillaceae	120
Proteorhodopsin	120
Possible heterocyst differentiation related cluster	120
Sutterellaceae	120
Calotrichaceae	120
Rhodocyclaceae	120
Ergothioneine biosynthesis	120
Delta(6)-desaturase containing cluster	120
Competibacteraceae	120
Sphingomonadaceae	120
L-rhamnonate utilization cluster	120
Halomonadaceae	120
tRNA splicing	120
Molybdopterin cytosine dinucleotide	120
Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria TEMP	120
Comamonadaceae	120
Paracoccaceae	120
Morganellaceae	120
Hyphomicrobiaceae	120
Pirellulaceae	120
Siderophore Achromobactin	121
Owenweeksiaceae	121
Fluviibacteraceae	121
ABC transporter YeiABEF	121
Salinivirgaceae	121
Kangiellaceae	121
AttEFGH ABC Transport System	121
Beta-lactamases Ambler class B	121
Ectothiorhodospiraceae	121
Amidase clustered with urea and nitrile hydratase functions	121
Melioribacteraceae	121
Pleioneaceae	121
Xanthomonadaceae	121
Obscuribacteraceae	121
Algiphilaceae	121
Tolypothrichaceae	121
Barnase-barstar complex	121
Aestuariivirgaceae	121
Moorellaceae	121
Halothiobacillaceae	121
Cellvibrionaceae	121
Moraxellaceae	122
Rhizobiaceae	122
Methylophilaceae	122
Lipid orphans	122
Leptospiraceae	122
P2-like phage	122
Myxococcaceae	122
Acyclic terpene utilization	123
Adenylylsulfate reductase	123
Geothermobacteraceae	123
ABC-type iron transport system	123
Potential DNA repair cluster	123
Quorum sensing regulation in Pseudomonas	123
CMP-pseudaminic acid synthesis	123
Cytochrome c oxidase EC 1.9.3.1	123
Dihydropyrimidine dehydrogenase	123
Cholera toxin	123
Carbon storage regulator	123
Biogenesis of cbb3-type cytochrome c oxidases	123
Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	123
Beta-lactamases Ambler class D	123
Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	123
Colwelliaceae	123
Bruguierivoracaceae	123
Heme and heme d1 biosynthesis from siroheme	123
Microbulbiferaceae	123
Type III secretion system	123
Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	123
Ventosimonadaceae	123
Marinobacteraceae	123
Mycobacterial FadE proteins Acyl-CoA dehydrogenase	123
Natronospirillaceae	123
Malonate decarboxylase	123
Aestuariirhabdaceae	123
tRNA modification, 5-oxyacetyl uridine (cmo5U34)	123
Coxiellaceae	123
Maricaulaceae	123
Dissulfurirhabdaceae	123
L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	123
Small efflux transporters of SMR family	123
Trans-envelope signaling system VreARI in Pseudomonas	123
Sulfate assimilation related cluster	123
Thiofilaceae	123
Sulfate reduction-associated complexes	123
Sulfur transfer pathway CsdAEL	123
Stress proteins YciF, YciE	123
Outer membrane porins in Pseudomonas and Acinetobacter	123
Salmochelin-mediated Iron Acquisition	123
Phenazine biosynthesis	123
Siderophore Pyoverdine	123
Siderophore pyochelin	123
Type III secretion systems	123
Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	123
Type 4 conjugative transfer system, IncI1 type	123
Sarcosine oxidases, monomeric and heterotetrameric	123
Desulfobaccaceae	123
Rhamnolipids in Pseudomonas	123
Hydrolysis of sphingomyelin	124
Solirubrobacteraceae	124
Gentisate pathway	124
Chloramphenicol resistance	124
Glutaconate CoA-transferase or 3-oxoadipate CoA-transferase Subunits	124
Biogenesis of cytochrome c oxidases	124
Cysteine dioxygenase containing cluster 1	124
Cytochrome bo ubiquinol oxidase 	124
D-galacturonate utilization, oxidative pathway	124
Cyclic Di-GMP Turnover Proteins	124
Bacterial pathways for dimethylsulfoniopropionate and acrylate catabolism	124
Sphaerotilaceae	124
Chitinibacteraceae	124
Acidiferrobacteraceae	124
Phenylacetyl-CoA catabolic pathway (core)	124
Tricarboxylate transport system	124
Mycolic acid synthesis 2	124
Puniceicoccaceae	124
Brucellaceae	124
Coenzyme PQQ synthesis	125
Protection from Reactive Oxygen Species	125
Nitrosomonadaceae	125
D-arabinose utilization	125
Formate dehydrogenase	125
HMG CoA Synthesis	125
Glutathione: Non-redox reactions	125
Glycolate, glyoxylate interconversions	125
Fusaric acid resistance cluster	125
General Secretion Pathway	125
Chemotaxis in Escherichia coli and Bacillus subtilis	125
Glutathione-dependent pathway of formaldehyde detoxification	125
EnvZ and OmpR regulon	125
Flagellum	125
Efflux ABC transporter YadGH	125
Polymyxin resistance, lipid A modifications with phosphoethanolamine	125
Tolerance to colicin E2 and CreBC signal transduction system	125
Tol-Pal Cell Envelope Complex	125
Taurine and alkanesulfonate utilization as sulfur sources	125
Periplasmic nitrate reductase EC 1.7.99.4	125
Polymyxin resistance, lipid A modifications with 4-amino-4-deoxy-L-arabinose	125
Polyadenylation, bacterial	125
Phosphonate metabolism	125
Tripartite multidrug efflux systems (of RND type) MdtABC-TolC	125
MexXY System of Pseudomonas aeruginosa	125
Type VI secretion system	125
Ubiquinone biosynthesis	125
Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC	125
Iron siderophore sensor & receptor system	125
IbrA and IbrB: co-activators of prophage gene expression	125
Spongiibacteraceae	125
Heme O and Heme A biosynthesis (with selected terminal oxidases)	125
Ribitol utilization	125
Respiratory Systems - Shewanella (updated)	125
Phosphoenolpyruvate phosphomutase	125
Putative TldE-TldD proteolytic complex	125
Putrescine utilization	125
Fortieaceae	126
Ethylmalonyl-CoA pathway of C2 assimilation	126
Labilitrichaceae	126
Elioraeaceae	126
Copper uptake system CopCD	126
Ktedonosporobacteraceae	126
Stellaceae	126
Carbon monoxide induced hydrogenase	126
Paceibacteraceae	126
Desulfonatronaceae	126
Agrobacterium opine transport	126
Chamaesiphonaceae	126
Alcaligenaceae	126
Azonexaceae	126
Beta-lactamases Ambler class C	126
Indole-pyruvate oxidoreductase complex	126
Indoleacetamide metabolism	126
Integrons	126
Methylhydantoinase	126
Aromatic amino acid interconversions with aryl acids	126
Emcibacteraceae	126
Thermithiobacillaceae	126
Tricarballylate Utilization	126
Nicotinic acid utilization	126
Nitrilase	126
Cholesterol catabolism	126
Sterolibacteriaceae	126
Rcs two-component regulator of capsule synthesis	126
Tetrathionate respiration	126
A new toxin - antitoxin system	127
2,3-diacetamido-2,3-dideoxy-d-mannuronic acid	127
Conjugative transfer	127
Xanthobacteraceae	127
Waddliaceae	127
Ectoine synthesis	127
D-threonate, L-threonate and D-erythronate utilization	127
Thiobacillaceae	127
Gallionellaceae	127
Leeiaceae	127
Cyclobacteriaceae	127
Bacteriocin resistance related cluster	127
Vir-like type 4 secretion system	127
Lysine fermentation	127
Type 4 secretion and conjugative transfer	127
Vanillate and syringate utilization	127
Piscirickettsiaceae	127
Osmotic stress cluster	127
Oxygen-sensing diguanylate cyclase and phosphodiesterase couple for c-di-GMP control	127
Desulfatiglandaceae	127
Resistance to chromium compounds	127
Desulfovibrionaceae	128
Thorselliaceae	128
Orbaceae	128
Cryosericaceae	128
Trichocoleusaceae	128
Budviciaceae	128
Saprospiraceae	128
Sulfurimonadaceae	128
Thermoanaerobacteraceae	128
Cryomorphaceae	128
Anaplasmataceae	129
Bradymonadaceae	129
Sedimenticolaceae	129
Wenzhouxiangellaceae	129
Hafniaceae	129
Hopanoid biosynthesis	129
Balneatrichaceae	129
Phosphonoalanine utilization	129
Phosphonate (phosphite) dehydrogenase	129
Predicted secretion system X	129
Desulfofervidaceae	129
Desulfosarcinaceae	129
Desulfomicrobiaceae	129
Transcriptional regulator AfsR	129
Phr peptides - Rap phosphatases signaling	129
Oleiphilaceae	129
Perlucidibacaceae	129
Pyrinomonadaceae	129
Saccharospirillaceae	129
Ferrovaceae	129
Dioxygenolytic carbon monoxide-forming enzymes	129
Entericidin	129
GlrKR two-component regulatory system	129
Victivallaceae	129
Carotenogenesis related cluster	129
Nostocaceae	129
Coenzyme F420 synthesis	129
Robiginitomaculaceae	129
Dictyobacteraceae	129
Ahrensiaceae	130
Pleomorphomonadaceae	130
AaeAB efflux system for hydroxylated, aromatic carboxylic acids	130
Adaptation to d-cysteine	130
Criblamydiaceae	130
Herpetosiphonaceae	130
Ktedonobacteraceae	130
Parachlamydiaceae	130
Desulfurobacteriaceae	130
Dietziaceae	130
Hoyosellaceae	130
Hahellaceae	130
Isoniazid inductible proteins cluster	130
Gaiellaceae	130
Fimbriimonadaceae	130
Rubrobacteraceae	130
Conexibacteraceae	130
Microthrixaceae	130
Siderophore Enterobactin	130
Rhodothermaceae	130
Geobacteraceae	130
Pyruvate Alanine Serine Interconversions	130
Spore germinant receptors	130
TonB-ExbBD energy transducing system	130
Mycobacterial multidrug efflux systems implicated in AMR 	130
Desulfocapsaceae	130
Kosmotogaceae	130
Syntrophobacteraceae	130
Acetomicrobiaceae	130
L-galactonate utilization	130
Geodermatophilaceae	130
Dermacoccaceae	130
Iamiaceae	130
Mariprofundaceae	130
Korobacteraceae	130
ZraPRS-based zinc resistance	130
Lichenihabitantaceae	130
Iodidimonadaceae	130
Caldilineaceae	130
Thermaceae	130
Spirulinaceae	130
Cytochrome b6-f complex in plants (plastidial) and cyanobacteria	130
Reichenbachiellaceae	130
Cloacimonadaceae	130
Williamwhitmaniaceae	130
Halanaerobiaceae	130
D-allose utilzation	130
D-glucosaminate utilization	130
Sphingosinicellaceae	130
Balneolaceae	130
Spirosomataceae	130
Hymenobacteraceae	130
Neosynechococcaceae	130
Pseudanabaenaceae	130
Flexistipitaceae	130
Roseiflexaceae	130
Parvibaculaceae	130
Chlorophyll Biosynthesis in plants and prokaryotes	130
CytR regulation	130
Scytonemataceae	130
Cobalamin synthesis, Precorin-2 to Cob(II)yrinate a,c diamide, aerobic	130
Butyricicoccaceae	131
Marivirgaceae	131
Rarobacteraceae	131
Clostridiaceae	131
Anaerolineaceae	131
Hippeaceae	131
Thermotogaceae	131
Translation initiation factors, eukaryotic and archaeal	131
Desulfobacteraceae	131
Proteasome bacterial	131
Demequinaceae	131
Two partner secretion pathway (TPS)	131
Nitrogen fixation	132
Ribosome LSU, eukaryotic and archaeal	132
RNA polymerase, archaeal initiation factors	132
Lysine Biosynthesis via alpha-aminoadipate AAA	132
Translation elongation factors, eukaryotic and archaeal	132
Ribosome biogenesis, archaeal	132
Exosome	132
Box C-D RNA-guided RNA methyltransferase	132
Ribosome SSU, eukaryotic and archaeal	132
Porticoccaceae	133
Gordoniaceae	133
Dongiaceae	133
Chelatococcaceae	133
Phycisphaeraceae	133
Energy conserving hydrogenase b, Methanococcales-Methanobacteriales-Methanopyrales	133
Fodinicurvataceae	133
Micropepsaceae	133
Kaistiaceae	133
Methylobacteriaceae	133
Roseobacteraceae	133
Acetobacteraceae	133
Diphthamide biosynthesis	133
Archaeal membrane bound hydrogenases	133
Acidimicrobiaceae	133
Mebrane bound hydrogenases	133
Propionibacteriaceae	133
Ornithinimicrobiaceae	133
Azospirillaceae	133
Terasakiellaceae	133
Novispirillaceae	133
Beijerinckiaceae	133
Nitrospiraceae	133
Phyllobacteriaceae	133
Stappiaceae	133
Magnetospirillaceae	133
Gemmatimonadaceae	133
Verrucomicrobiaceae	133
Succinate dehydrogenase and Fumarate reductase cpmlexes	134
Resistance to Ethionamide and Isoniazid	134
Biotin biosynthesis	134
Cytochrome d ubiquinol oxidase operon	134
Fatty acid degradation	134
Bicyclomycin resistance cluster	135
Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways	135
Metal chelatases	135
Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	135
Glycine cleavage system	136
Lipoylated proteins	136
Lipoic acid metabolism	136
Chlorophyll a synthase and phytol kinase cluster	137
Post-translational modification of proteins	137
Arginine succinyltransferase pathway	137
TCA Cycle	137
Biotin synthesis & utilization	137
Photorespiration (oxidative C2 cycle)	138
Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-6-naphthoate	138
2-oxoglutarate dehydrogenase 	138
Degradation of branched-chain amino acids and alpha-keto acids [Leu, Val]	138
Coenzyme A Biosynthesis cluster	139
Denitrifying reductase gene clusters	139
Resistance to the fluoroquinolones norfloxacin and ciprofloxacin	139
Oxygen-sensing two-component regulatory system NreABC	139
Dehydrogenase complexes	140
Dissimilatory nitrite reductase	140
Choline uptake and conversion to betaine clusters	140
Utilization systems for glycans and polysaccharides (PULs, SUS)	141
Rikenellaceae	141
Conjugative transposon, Bacteroidales	141
Na-translocating NADH-quinone oxidoreductase	141
Dysgonomonadaceae	141
Bacterial Sphingolipids	141
BtuS-PduT gene cluster for metalloporphyrine salvage	141
Bacteroidaceae	141
Bacteroides capsular polysaccharide transcription antitermination proteins	142
Muribaculaceae	142
Barnesiellaceae	142
Haliscomenobacteraceae	142
2-ketoacid oxidoreductases disambiguation	142
Paludibacteraceae	142
Prevotellaceae	142
Flammeovirgaceae	143
Tannerellaceae	143
Akkermansiaceae	143
Chlorobiaceae	143
Prolixibacteraceae	144
Marinilabiliaceae	144
Odoribacteraceae	144
Possible DNA repair related cluster	144
Balneicellaceae	144
Colanic acid synthesis	145
Cob(I)alamin adenosyltransferase	145
Lipopolysaccharide transporter LptABC	145
tRNA aminoacylation, Glu	145
KDO2-Lipid A biosynthesis	145
beta-Barrel Assembly Machinery	145
Lipoprotein transporter to outer membrane Lol	145
Type I secretion systems disambiguation	145
Outer membrane	145
Pyrroloquinoline Quinone biosynthesis	145
tRNA aminoacylation, Gln	145
Lpt lipopolysaccharide transport system	145
Possible RNA modification and stress response cluster	146
Encapsulation of DyP-type peroxidase or ferritin-like protein oligomers	146
Acetyl-CoA Pathway Wood-Ljungdahl	146
Pyruvate:ferredoxin oxidoreductase	146
Thiotrichaceae	146
Aerotolerance operon	147
Inositol-containing phospholipids	147
Branched-chain amino acids and alpha-keto acids utilization as energy sources	148
Muconate lactonizing enzyme family	148
Biosynthesis of thiamin antivitamin Bacimethrin	149
Pyridoxin (Vitamin B6) Biosynthesis	149
Modification of eukaryotic initiation factor 5A	149
Peptidyl-prolyl cis-trans isomerase	149
Oligopeptide degradation cluster	149
Methylthiotransferases	150
Ribosomal protein S12p Asp methylthiotransferase	150
Protein chaperones	150
